GID_3,NAME_3,province,centroid_lat,centroid_lon,area_km2,fire_years_2021_2024,elderly_pct,dist_civil_prot_km,priority
ITA.15.1.1_1,Agrigento,Agrigento,37.322617766554046,13.567606678781207,245.95973277192573,2,0.232,78.84,False
ITA.15.1.2_1,AlessandriaDellaRocca,Agrigento,37.5469107612923,13.465202014614517,61.90822222528113,2,0.232,61.15,False
ITA.15.1.3_1,Aragona,Agrigento,37.4215603781978,13.61340328532524,74.92694726448133,2,0.232,67.12,False
ITA.15.1.4_1,Bivona,Agrigento,37.57895778482131,13.405861481845763,89.06532476905755,2,0.232,61.77,False
ITA.15.1.5_1,Burgio,Agrigento,37.62119258627341,13.298171979569448,42.02411381368421,2,0.232,65.55,False
ITA.15.1.6_1,Calamonaci,Agrigento,37.5194367403953,13.323981516463299,32.331904796056655,2,0.232,71.53,False
ITA.15.1.7_1,Caltabellotta,Agrigento,37.5836965433127,13.201117470000423,124.27670857967254,2,0.232,74.86,False
ITA.15.1.8_1,Camastra,Agrigento,37.25193066621693,13.80698411053334,16.522262265437938,2,0.232,81.89,False
ITA.15.1.9_1,Cammarata,Agrigento,37.63174843837806,13.695752321468502,192.30062612422753,2,0.232,42.72,False
ITA.15.1.10_1,CampobelloDiLicata,Agrigento,37.23793730440873,13.91924321078186,81.39579496029533,2,0.232,80.04,False
ITA.15.1.11_1,Canicattì,Agrigento,37.37295292839961,13.838349383713417,91.4867969423267,2,0.232,68.27,False
ITA.15.1.12_1,Casteltermini,Agrigento,37.53074597465498,13.627988895762506,100.39678339582643,2,0.232,55.4,False
ITA.15.1.13_1,Castrofilippo,Agrigento,37.35644194115993,13.75347564722101,19.089252549476956,0,0.232,70.93,False
ITA.15.1.14_1,CattolicaEraclea,Agrigento,37.4291299551637,13.37913610543459,61.420916421038505,2,0.232,76.21,False
ITA.15.1.15_1,Cianciana,Agrigento,37.49635416638642,13.422676827396504,38.00641851534356,2,0.232,67.9,False
ITA.15.1.16_1,Comitini,Agrigento,37.41494292120118,13.660580360444092,21.39380948045002,1,0.232,66.47,False
ITA.15.1.17_1,Favara,Agrigento,37.318855422603406,13.673237983547503,81.82149989038946,2,0.232,76.46,False
ITA.15.1.18_1,Grotte,Agrigento,37.422624771686124,13.686139165057536,23.495712229703845,1,0.232,65.01,False
ITA.15.1.19_1,JoppoloGiancaxio,Agrigento,37.382539947875614,13.567988308033936,19.363008481431557,1,0.232,72.63,False
ITA.15.1.20_1,LampedusaELinosa,Agrigento,35.5886895316247,12.64437661874596,27.89529798529268,0,0.232,236.8,False
ITA.15.1.21_1,Licata,Agrigento,37.154789433565995,13.920240742998047,183.8466797903722,2,0.232,76.17,False
ITA.15.1.22_1,LuccaSicula,Agrigento,37.56287411503491,13.326202274820867,18.625511046229743,1,0.232,67.96,False
ITA.15.1.23_1,Menfi,Agrigento,37.612861205674115,12.966084921479426,115.36214520503265,1,0.232,90.71,False
ITA.15.1.24_1,Montallegro,Agrigento,37.39226242524066,13.35349488336633,28.84122903772074,2,0.232,80.86,False
ITA.15.1.25_1,Montevago,Agrigento,37.68933482939222,12.950696491300919,33.06226596808466,1,0.232,88.37,False
ITA.15.1.26_1,Naro,Agrigento,37.290712559289155,13.822780636180509,206.50897488015102,2,0.232,77.49,False
ITA.15.1.27_1,PalmaDiMontechiaro,Agrigento,37.182551818351904,13.765677049169202,80.03665705277342,2,0.232,89.93,False
ITA.15.1.28_1,PortoEmpedocle,Agrigento,37.31060284264505,13.508915868102086,25.62987446208765,2,0.232,82.04,False
ITA.15.1.29_1,Racalmuto,Agrigento,37.40482889317507,13.751340199493397,67.85267939225692,2,0.232,65.66,False
ITA.15.1.30_1,Raffadali,Agrigento,37.403373750807525,13.530015782043277,22.47551871461318,2,0.232,71.88,False
ITA.15.1.31_1,Ravanusa,Agrigento,37.250462086100306,13.986477819423081,49.871722842523134,2,0.232,75.32,False
ITA.15.1.32_1,Realmonte,Agrigento,37.31284960693813,13.454561291534196,21.82323886565366,2,0.232,83.86,False
ITA.15.1.33_1,Ribera,Agrigento,37.467643625943836,13.28872830385983,119.5922254235239,2,0.232,77.87,False
ITA.15.1.34_1,SambucaDiSicilia,Agrigento,37.65647741921537,13.114684635906887,97.19706925587025,1,0.232,76.89,False
ITA.15.1.35_1,SanBiagioPlatani,Agrigento,37.51247004046809,13.543935083875214,42.97680323914084,2,0.232,60.55,False
ITA.15.1.36_1,SanGiovanniGemini,Agrigento,37.61853305740507,13.650182163482855,26.454540810772702,0,0.232,45.73,False
ITA.15.1.37_1,Sant'AngeloMuxaro,Agrigento,37.46819832098529,13.516984988114041,64.5643545600736,2,0.232,66.01,False
ITA.15.1.38_1,SantaElisabetta,Agrigento,37.4406912580963,13.549634772698608,15.993234823858474,2,0.232,67.39,False
ITA.15.1.39_1,SantaMargheritaDiBelice,Agrigento,37.692146117487475,13.026596526024035,67.56298117670305,0,0.232,82.1,False
ITA.15.1.40_1,SantoStefanoQuisquina,Agrigento,37.60293404440022,13.513806122570772,85.27170877955567,1,0.232,53.6,False
ITA.15.1.41_1,Sciacca,Agrigento,37.543699609819996,13.103220239928802,194.7950194656136,1,0.232,84.45,False
ITA.15.1.42_1,Siculiana,Agrigento,37.36041772475673,13.388081635098107,42.84635288296555,2,0.232,82.12,False
ITA.15.1.43_1,VillafrancaSicula,Agrigento,37.566422010327244,13.281701347861182,17.84947168961982,1,0.232,70.57,False
