ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
395,0,France,0,6.48067,45.6107,9561.69,1990-02-15,1990-02-17,News,14,0,Avalanche related,1.0
473,0,France,0,6.20383,43.5014,9563.94,1990-10-18,1990-10-19,News,1,0,Heavy rain,1.0
699,0,France,0,5.83747,44.5158,22746.16,1992-09-22,1992-09-22,News,38,2000,Torrential rain,2.0
700,0,France,0,2.93545,43.1605,23383.79,1992-09-27,1992-09-27,News,3,0,Heavy rain,1.0
704,0,France,Italy,11.2843,42.7699,135575.31,1992-09-28,1992-10-08,News,12,120,Heavy rain,1.0
781,0,France,Italy,7.36304,45.1072,51313.99,1993-09-22,1993-10-08,News,17,1700,Torrential rain,2.0
793,0,France,0,9.06044,41.5666,1692.24,1993-10-31,1993-11-02,News,4,0,Torrential rain,1.0
812,0,France,Germany,5.76827,50.3802,261149.34,1993-12-21,1993-12-31,News,11,48000,Torrential rain,2.0
932,0,France,0,-2.89661,48.1547,27724.7,1995-01-20,1995-01-30,News,16,5000,Rain and snowmelt,2.0
933,0,France,Germany,5.69912,50.3282,341156.99,1995-01-23,1995-02-07,News,30,294100,Rain and snowmelt,2.0
1051,0,France,0,3.39445,43.4429,2139.96,1996-01-27,1996-01-30,News,4,600,Heavy rain,1.0
1137,0,France,0,3.51066,43.359,26323.22,1996-12-05,1996-12-10,News,0,50,Heavy Rain,1.0
1240,0,France,0,0.929309,49.4622,8004.45,1997-06-14,1997-06-17,News,4,0,Brief torrential rain,1.0
1568,0,France,0,3.51811,45.2358,91886.28,1999-11-12,1999-11-15,News,27,3000,Brief torrential rain,2.0
1685,0,France,Belgium,5.01154,50.3658,3926.12,2001-01-05,2001-01-07,News,0,80,Brief torrential rain,1.0
1710,0,France,0,2.36843,50.0468,9209.58,2001-04-07,2001-05-02,News,0,1029,Heavy rain,2.0
1814,0,France,0,4.93584,44.9617,3857.12,2001-10-20,2001-10-21,News,2,300,Heavy rain,1.0
1852,0,France,0,8.43803,48.1985,9379.12,2001-12-29,2001-12-30,News,0,240,Brief torrential rain,1.0
2052,0,France,0,4.44759,44.0345,10479.27,2002-09-08,2002-09-12,News,23,2500,Heavy rain,1.0
2087,0,France,0,4.81011,45.038,4834.93,2002-11-16,2002-11-20,News,1,2500,Heavy rain,1.0
2103,0,France,0,4.14588,43.7308,1292.7,2002-12-13,2002-12-14,News,2,0,Heavy rain,1.0
2359,0,France,0,4.15721,43.7231,731.057,2003-09-22,2003-09-23,News,1,30,Brief torrential rain,1.0
2395,0,France,0,4.94085,44.8217,86272.34,2003-12-01,2003-12-10,News,9,27000,Heavy rain,2.0
2724,0,France,0,4.18619,44.0571,9814.17,2005-09-07,2005-09-09,News,0,3000,Heavy rain,1.0
2763,0,France,0,3.00636,42.9478,1981.92,2005-11-15,2005-11-17,News,2,1000,Heavy rain,1.0
3086,0,France,0,-0.472122,43.2956,3174.16,2007-05-25,2007-05-27,News,1,500,Heavy rain,1.0
3315,,France,0,8.91392,48.0799,154307.03,2008-06-01,2008-06-03,News,3,0,Heavy rain,1.0
3433,0,France,0,-2.6099,42.2483,173199.93,2009-01-08,2009-01-16,News,11,9400,Heavy Rain,2.0
3612,0,France,0,-1.53213,46.7732,30834.35,2010-02-28,2010-03-02,0,48,500,Storm Surge and Heavy Rai,2.0
3661,0,France,0,6.59134,43.4973,7699.78,2010-06-16,2010-06-17,0,19,0,Torrential Rain,2.0
4039,,France,,2.54269,43.2579,5910.43,2013-03-09,2013-03-17,News,1,1200,Heavy Rain,1.0
4122,,France,Italy,7.0993,43.9958,82989.45,2014-01-20,2014-02-07,News,4,1000,Heavy Rain,1.5
4203,,France,,5.09507,44.2452,36709.07,2014-11-13,2014-11-16,News,5,0,Heavy Rain,1.5
4209,,France,,0.863937,43.999,123269.25,2014-11-29,2014-12-05,News,5,3000,Torrential Rain,1.5
4296,,France,,6.5302,43.3765,2895.95,2015-10-03,2015-10-07,News,16,0,Torrential Rain,1.5
4366,,France,,2.99188,48.0641,121606.09,2016-06-01,2016-06-21,News,4,0,Heavy Rain,2.0
4491,,France,,3.33829,45.4855,45514.5,2017-06-13,2017-06-15,News,1,160,Torrential Rain,1.0
4566,,France,,1.60624,48.5107,72015.73,2018-01-24,2018-01-29,FloodList,0,1000,Heavy Rain,1.5
4628,,France,,-3.61464,48.1913,12919.82,2018-06-03,2018-06-04,FloodList,0,20,Heavy Rain,1.0
4659,,France,,5.78789,44.4181,56965.28,2018-08-09,2018-08-10,FloodList,0,1600,Torrential Rain,1.5
5020,,France,,1.95265,46.1065,291654.6,2021-01-31,2021-02-03,FloodList,1,150,Heavy Rain,1.0
