osm_id,osm_type,lat,lon,name,amenity,operator,emergency,beds,phone,website,addr_city
103717455,node,45.7574805,4.886023,Clinique Psychiatrique Notre-Dame,hospital,ORSAC,no,,+33 4 78 54 75 19,https://orsac-cnd.fr/,
205457304,node,45.7405497,4.7722795,La Maisonnée,hospital,,,,+33472162200,,
229888571,node,43.6251723,3.8802441,Institut Nazareth,hospital,Armée du salut,,,,,Montpellier
237625616,node,48.5819895,7.7353506,Clinique Sainte-Barbe,hospital,,no,,,,Strasbourg
239553929,node,48.59276,7.7543833,Centre Régional de Réadaptation Fonctionnelle Clémenceau,hospital,,,,,,
248586169,node,48.7464387,-0.5624879,Clinique Saint-Dominique,hospital,,,,+33 2 33 98 25 15,,Flers
269046098,node,48.1228623,-1.6115311,Maison médicale de la Marre Pavée,clinic,M. Bruno Fourrier,,,,,Cesson-Sévigné
283342353,node,42.7161184,2.8947379,Clinique Saint-Christophe,hospital,,,,,,
299979400,node,49.003201,2.4151516,C.M.P.P Villiers le Bel,clinic,,,,,,Villiers-le-Bel
300055323,node,49.914026,2.5140718,Centre Hospitalier de Corbie,hospital,,,,,,Corbie
303595838,node,43.6713452,7.2224761,Centre de Soin Arenas,clinic,,,,,,
307770427,node,48.4155126,-4.4919221,Soins Infirmiers,clinic,,,,,,
318733816,node,44.8889561,-0.616115,Clinique Jean Villar,hospital,,,,+33 8 26 30 81 81,,
324258223,node,44.732355,4.5940897,Hôpital Sainte-Marie,hospital,,,,+33 4 75 20 15 15,https://www.ahsm.eu/implantations/centre-hospitalier-sainte-marie-privas,
336491750,node,47.2268805,-1.6107852,Polyclinique de l'Atlantique,hospital,,,,,,
339863655,node,48.7302613,7.7218052,Hôpital Alexandre Millerand,hospital,,,,,,
348174002,node,46.9955043,3.1488091,Polyclinique du Val de Loire,hospital,,,,,,Nevers
365175388,node,48.0042122,-1.6966037,Clinique Philae,hospital,,,,,,
390679880,node,44.5269365,5.0649157,Hopital de Dieulefit,hospital,,,,,,
438084148,node,43.6371923,5.0826635,Diaverum,clinic,,,,+33491838880,,
452401907,node,48.7863537,2.2917115,Clinalliance Fontenay-aux-Roses,hospital,,,,,https://www.clinalliance.fr/fontenay/,
469713362,node,-22.2059241,166.4724384,Centre médical Numa Joubert,hospital,,no,,,,Dumbéa
483569726,node,48.8235358,2.2768317,L'Hôpital Suisse de Paris,hospital,,,,,https://www.hopitalsuissedeparis.com/,
498449503,node,48.8343215,-0.8863574,Pole de santé du Colombier,clinic,,,,,,
579949071,node,43.8428728,1.5257788,Clinique du Château de Vernhes,hospital,,no,,+33 5 61 37 27 27,https://www.cliniquebondigoux.fr/,
606264332,node,48.819862,7.7877322,Clinique Saint-François,clinic,,,,+33388907070,,
667189126,node,43.614936,3.8864006,Cabinet d'Infirmières,clinic,Arnaud et Bardin,,,+33 6 41 38 26 44,,
670633220,node,48.7222771,2.4525995,Centre Hospitalier Intercommunal Lucie et Raymond Aubrac,hospital,,,,,,Villeneuve-Saint-Georges
697023907,node,48.7594984,7.8570413,Centre Hospitalier Départemental de Bichwiller,hospital,,,,,,
703406696,node,48.856638,2.359653,Clinique Vétérinaire Saint Paul,clinic,,,,+33148878596,https://saintpaul.vet/,
710466776,node,50.6126187,2.986561,Centre Hospitalier Jean de Luxembourg,hospital,,no,,+33 362 210 400,https://ghlh.fr/,Haubourdin
738003925,node,48.3995891,-4.494993,Service de Santé Universitaire,clinic,,,,+33 2 98 01 82 88,https://www.univ-brest.fr/service-sante-etudiant/fr,
762703217,node,47.4852002,-0.5878728,Clinique Saint-Didier,hospital,,,,,,
778795029,node,-22.266382,166.3965427,CHS de Nouville,hospital,,,,,,
783760856,node,48.8352616,2.2442898,Centre de Pneumologie de l'Enfant,hospital,,,,+33 1 46 99 98 98,,
803374729,node,43.5702881,1.4549327,Santé Rangueil,clinic,,,,,,
833196750,node,42.7195809,1.8402221,Hôpital local Saint-Louis,hospital,,,,,,
871682965,node,-21.3464132,165.1586345,Dispensaire de Poya,hospital,,,,,,
876656117,node,-21.0605881,164.8602816,,hospital,,,,,,
876656130,node,-21.0568083,164.8622235,Dispensaire de Koné,hospital,,,,,,
878451741,node,-20.9495048,164.6885211,Dispensaire de Voh,hospital,,,,,,
878722649,node,47.8304083,-3.3175966,Centre hospitalier Charcot,hospital,,,,,,
883722156,node,-22.2254864,166.4881641,SMIT CAFAT,hospital,,,,,,Nouméa
906643217,node,-21.3973548,165.8295784,Dispensaire de Kouaoua,hospital,,,,,,
939291137,node,-21.047901,55.2672873,Clinique Les Oliviers,hospital,,,,,,
939878432,node,-21.6113332,166.214515,Dispensaire de Thio,hospital,,,,,,
969919953,node,45.6406242,2.5133601,Centre psychiatrique de la Cellette,hospital,,,,,,
977194624,node,48.8435512,2.3549103,Clinique Geoffroy Saint-Hilaire,hospital,Ramsay Santé,,,+33 1 44 08 40 00,https://clinique-geoffroy-saint-hilaire-paris.ramsaygds.fr/,
978866036,node,47.5240595,-2.488785,Centre de Réadaptation,hospital,,,,,,Billiers
989671106,node,48.4109079,-1.8123222,Cabinet Médical,hospital,,,,,,Meillac
1011424909,node,43.4556676,2.0041688,Centre hospitalier de Revel,hospital,,,,,,
1033411473,node,47.6244755,4.3402321,Centre Hospitalier Intercommunal Châtillon Montbard,hospital,,,,,,
1049197190,node,45.4681204,6.9029783,Cabinet médical,clinic,,,,,,
1115970067,node,43.5702206,7.1144693,Pôle Santé Wilson,clinic,,,,+33 4 93 67 40 60,,Antibes
1148070702,node,5.3786711,-52.9578361,Centre de Protection Maternelle et Infantile de Sinnamary,clinic,Collectivité Territoriale de Guyane,,,+594 59434 52 78,,Sinnamary
1162465281,node,4.3119983,-52.1303546,Centre Délocalisé de Prévention et de Soins,clinic,Centre Hospitalier Andrée Rosemon (CHAR),,,+594 594 27 06 51,,Régina
1162885139,node,3.8899648,-51.8022404,Centre Délocalisé de Prévention et de Soins,clinic,Centre Hospitalier Andrée Rosemon (CHAR),,,+594 594 37 09 61,,Saint-Georges
1164059022,node,4.7260871,-52.3268155,Dispensaire,clinic,,,,,,
1179093135,node,49.0485226,3.9507764,Clinique d'Épernay,hospital,,,,,,
1205475856,node,48.0269527,-3.4884486,Hôpital local du Faouët,hospital,,,,,,
1224158095,node,48.835404,2.2444495,Centre d'Exploration Digestive de l'Enfant,hospital,,,,,,
1225227409,node,48.8450737,2.2614765,Clinique Drouot Molitor,clinic,,,,+33 1 88 40 20 30,,
1290238381,node,50.496545,2.9614658,Hôpital de Carvin,hospital,,,,,,
1328716120,node,47.226012,-1.6115859,I.R.M. de l'Atlantique,hospital,,,,,,
1336001616,node,49.4484745,1.089041,Hôpital de Jour MGEN,hospital,,,,,,
1336001622,node,49.4493077,1.0820638,Centre de jour Saint-Gervais - Centre Hospitalier du Rouvray,hospital,,,,,https://www.ch-lerouvray.fr/centre-de-jour-saint-gervais-pour-adultes-cmp-et-crep,
1339920613,node,-21.2858838,55.4057178,CHU Hôpital de Saint-Louis,hospital,CHU de la Réunion,no,,,,Saint-Louis
1358353974,node,-17.5364758,-149.560476,Centre médical de Mamao,clinic,,,,,http://www.cliniquemamao.pf/,
1362787029,node,48.8234162,2.3578095,Place dentaire & Place Vision,clinic,,,,,,
1371545907,node,48.1790874,1.3871264,Hopital psychiatrique Henri Ey,hospital,,,,,,
1413912313,node,43.101325,0.9572259,,clinic,,,,,,
1419257056,node,3.6233536,-53.2095856,Centre Délocalisé de Prévention et de Soins de Saül,clinic,Centre Hospitalier Andrée Rosemon (CHAR),,,,,Saül
1421177920,node,44.5298629,0.768198,Maison de santé pluridiciplinaire,clinic,Com. Com Haut Agenais Périgord,,,,,Monflanquin
1457097885,node,47.7412399,-1.1747178,Hôpital Thierry de Langeraye,hospital,,,,,,
1462112612,node,48.8604665,2.2777715,Clinique de la Muette,hospital,,,,,https://www.clinique-delamuette.fr/,
1509314043,node,14.6873041,-61.0872119,Centre Hospitalier Maurice Despinoy,hospital,,,,,,
1529291788,node,48.5590582,-2.5431141,Claripharm,clinic,,,,,,Saint-Alban
1554189119,node,47.9642452,0.2230577,Clinique du Tertre Rouge,hospital,Groupe Elsan,,,,,
1583926075,node,48.1790585,-2.7541384,Centre hospitalier Centre Bretagne,hospital,,,,+33 2 96 25 32 25,https://www.ch-centre-bretagne.fr/,
1586080138,node,49.8323177,3.9027865,Centre Hospitalier de Vervins,hospital,,,,,,Vervins
1588305092,node,43.6019783,3.8535476,,clinic,,,,,,
1596072091,node,47.2105197,2.0605967,Maison Médicale de La Noue,hospital,,,,,,
1635284412,node,49.1774779,-0.3564216,Centre Interventionnel Ostéoarticulaire et du Rachis,clinic,,,,,,
1640559633,node,43.569603,1.472004,Medical Service,clinic,,,,,,
1652874154,node,47.2100856,-1.5507229,Centre médical de la Madeleine,clinic,,,,,,
1661254423,node,45.3364513,1.0513556,Centre Hospitalier d'Excideuil,hospital,,no,,,,
1678131841,node,43.2779107,-0.3264984,Clinique Cardiologique,hospital,,,,+33 5 59 82 26 26,,
1683476583,node,42.9713308,-0.3909223,Établissement Thermal,hospital,,,,,,
1684818336,node,48.8426449,2.3435197,Institut Curie,hospital,,,,,,
1685650816,node,48.8440994,2.3394338,Centre Luxembourg,clinic,,no,,,https://www.centre-luxembourg.com/,
1690312398,node,45.6346792,4.4585941,Hôpital local de Saint-Symphorien-sur-Coise,hospital,,no,,,,Saint-Symphorien-sur-Coise
1697684372,node,44.4333001,-0.208113,Hôpital Saint-Antoine,hospital,,,,,,
1708339124,node,46.0292495,4.312775,Hôpital de Thizy,hospital,,,,,,
1715026269,node,43.2768365,-0.3255823,Centre de Dialyse du Béarn,clinic,,,,,,
1744066136,node,48.9409347,2.8730666,Clinique Saint-Faron,hospital,,,,,,
1745334267,node,45.742217,0.3832859,Centre hospitalier de le Rochefoucaud,hospital,,,,,https://www.ch-larochefoucauld.fr/,
